2	81101	81525
2	87684	88273
2	95779	96485
3	9407	10104
3	30502	31199
2	3403	4116
2	113319	114281
1	3140940	3142439
2	45908	47407
2	111727	113226
1	3142436	3143200
2	45147	45911
2	110966	111730
1	3502239	3503219
1	3505777	3506092
1	3504864	3505777
1	3512840	3514029
1	4665527	4665788
1	4664677	4665527
1	4673014	4673266
1	4672155	4673014
2	42009	43278
2	114563	115422
2	115492	116325
3	12636	13844
2	72791	73771
2	128176	129156
2	103271	103975
2	108418	109122
2	153847	154551
2	14457	14750
2	35605	35952
2	14155	14382
2	34018	35555
2	104029	105126
2	64347	65693
2	82353	83708
